EmployeeId,DateOfEmployment,PositionName
1,2010-04-20,Owner
2,2012-05-20,Workshop Manager
3,2013-03-14,Automotive Specialist
4,2014-04-16,Parts Manager
5,2015-01-10,Diagonostic Specialist
6,2015-10-06,Quality Engineer
7,2016-07-01,Quality Specialist
8,2017-03-27,Automotive Specialist
9,2017-12-21,Automotive Specialist
10,2018-09-16,Quality Specialist
11,2019-06-12,Diagonostic Specialist
12,2020-03-07,Assistant Automotive Specialist
13,2020-12-01,Assistant Diagonostic Specialist
14,2021-08-27,Trainee
