Vin,PaidOff,ServiceStartDate,ServiceEndDate,CustomerId,EmployeeId
3FNRLW2BT3VWLLT7W,1,2020-09-28,2020-10-10,1,1
37D2AJLFEK7G6194W,1,2021-06-03,2021-06-11,1,1
1G4EC11C4JB901987,1,2015-07-05,2015-07-19,1,1
1G4EC11C4JB901988,1,2020-01-21,2020-01-26,1,2
1G4EC11C4JB901989,1,2017-08-11,2017-08-25,1,2
1G4EC11C4JB901990,1,2019-12-01,2019-12-11,1,2
1G4EC11C4JB901991,1,2022-06-01,2022-06-13,1,2
2HNYD2H31DH501112,1,2020-01-21,2020-02-05,2,2
WBAJB0C51BC532336,1,2018-11-01,2018-11-06,3,2
1FT7W2BT3DEB02692,1,2021-01-21,2021-02-03,5,2
5J6RM4H33EL032008,1,2022-01-21,2022-01-29,5,3
5FNRL6H94JB058408,1,2021-09-11,2021-09-26,6,5
1C4SDHCT2EC518481,1,2022-01-21,2022-02-10,7,3
4T1BD1FK3FU060871,1,2019-02-21,2019-03-12,8,3
2C3CDXHG1EH218905,1,2020-01-21,2020-01-31,9,5
2GNAXTEV8J6252726,1,2021-01-21,2021-01-27,10,5
WBAVA375X9NL06323,1,2018-01-21,2018-02-03,11,5
1FTFW1ET0DFC21909,1,2019-03-21,2019-04-01,12,5
1HGCV1F34JA033044,1,2022-01-21,2022-01-30,13,5
1GYS4CKJ4GR228491,1,2018-05-21,2018-06-03,13,5
2GTEK19B571125541,1,2022-01-21,2022-02-02,13,5
3VWLL7AJ3BM029633,1,2018-04-21,2018-05-05,14,2
1GKS1CE04BR207052,1,2020-01-21,2020-01-27,15,2
EHV2T37F7T7VJVC26,1,2022-07-20,2022-07-25,16,5
5G5JZ18N8SL872546,1,2022-10-21,2022-10-26,17,5
3K3NT53X9XN433870,1,2021-09-21,2021-10-09,18,2
2T3WFREV3GW293769,1,2021-02-21,2021-03-09,19,6
2C4RC1BG6LR224413,1,2023-01-21,2023-02-02,20,5
4JGDA5JB7HA946036,1,2023-01-21,2023-02-08,21,5
WDDWJ8KB2KF684794,1,2023-01-21,2023-02-06,22,8
2C4RC1BG7JR215755,1,2022-02-21,2022-03-08,23,8
2GNFLFEK7G6194764,1,2022-08-21,2022-09-05,24,8
WAUA2AFD2DN019030,1,2022-02-21,2022-03-01,25,8
JTHBK1GG7D2027441,1,2021-10-21,2021-11-03,26,9
4USBT33534LS49963,1,2023-01-21,2023-01-31,27,9
JTHBW1GG7D2000178,1,2022-02-21,2022-02-28,27,8
4T1BF1FK7CU510635,1,2023-01-21,2023-02-04,28,9
3VW447AU5FM042417,1,2023-01-21,2023-01-27,29,8
JTHBK1EG8C2417764,1,2020-07-31,2020-08-13,30,8
2GTEK19J441270429,1,2021-08-28,2021-09-09,30,9
1ZVFT80N055185407,1,2022-03-15,2022-03-25,31,5
JM1NC2MF9E0234389,1,2022-02-04,2023-02-12,32,2
KMHDN46D04U643031,1,2020-10-11,2020-10-28,NULL,6
1J8GR48K47C155348,1,2022-03-21,2022-03-26,NULL,2
1N4BL4BV4KC183758,1,2022-09-23,2022-10-10,NULL,9
1FMZU77K74UB33195,1,2022-06-27,2022-07-04,NULL,5
1N4AL3AP9EC215201,1,2022-02-08,2022-02-25,35,6
1FTEW1E53MKE12935,1,2021-12-03,2021-12-23,36,9
1G1PC5SB8E7182468,1,2021-03-17,2021-03-23,37,5
1N4AA5AP3AC805981,1,2023-01-23,2023-02-05,38,5
1G1JE6SB1C4183312,1,2020-11-25,2020-12-10,39,5
1J8GR48K47C828206,1,2022-06-11,2022-06-19,40,5
2HGFG4A50CH701101,1,2023-01-04,2023-01-20,41,8
1HGCM66594A098237,1,2023-01-13,2023-02-02,42,8
3D7JB1EP3BG707058,1,2023-01-08,2023-01-25,43,9
JH4DB7663RS001474,1,2023-01-19,2023-01-28,44,8
2HGES165X9H533726,1,2023-01-02,2023-01-19,45,9
1FTFW1R62EFC81935,1,2023-01-22,2023-01-31,46,8
JN1CA21D1XT804210,1,2023-01-06,2023-01-13,47,5
JTHBJ46G992339151,1,2023-01-11,2023-01-17,48,5
2G1WT58K979277802,0,2023-01-15,2023-02-03,49,8
1C3CDFBB5FD333450,0,2023-01-18,2023-01-24,50,9
JH4DA9447HS009086,0,2023-02-14,NULL,51,9
2C4RDGCG4ER147255,0,2023-02-15,NULL,52,5
1FTWW33F62EA44809,0,2023-02-16,NULL,52,3
1G1BE5SM5H7248785,0,2023-02-13,NULL,52,5
1FMCU0DG0BKA06849,0,2023-02-14,NULL,52,8
