PartID,TaskID
1,1
2,1
3,2
4,3
5,3
6,4
7,4
8,5
9,6
10,7
11,7
12,8
13,9
14,10
15,11
16,12
17,12
18,13
19,13
20,14
21,15
22,16
23,17
24,18
25,19
26,20
27,21
28,22
29,23
30,24
31,25
32,27
33,28
34,29
35,30
36,31
37,32
38,33
39,34
40,35
41,36
42,37
43,38
44,39
45,40
46,41
47,42
48,43
49,44
50,45
51,46
52,47
53,48
54,49
55,50
56,51
57,52
58,53
59,54
60,55
61,56
62,57
63,58
64,59
65,60
66,61
67,62
68,63
69,64
70,65
71,66
72,67
73,68
74,69
75,70
76,71
77,72
78,73
79,74
80,75
81,76
82,77
83,78
84,79
85,80
86,81
87,82
88,83
89,84
90,85
91,86
92,87
93,88
94,89
95,90
96,91
97,92
98,93
99,94
100,95
101,96
102,97
103,98
